,Unnamed: 0,Material,Name..global...english,Chemical.group,Phase,CAS.no._1,CAS.no._2,CAS.no._3,csid
0,1,105656,AMYL SALICYLATE,ESTER,,,,,15465
1,2,699713,ARCOSOLVE DPMA GLYCO ETHER,,,,,,109020
2,3,195564,AURANTIOL,SCHIFF-BASE,,,,,32696556
3,4,660554,CARENE DELTA-3 NAT.,HYDROCARBON,,,,,24263
4,5,659577,"CINEOL 1,4",ETHER,,,,,23976355
5,6,198031,CORTEX ALDEHYDE 50,ALDEHYDE,,,,,67586
6,7,131228,DIHYDRO TERPINEOL,ALCOHOL,,,,,9926
7,8,130265,DIPENTENE,HYDROCARBON,,,,,4517561
8,9,103383,ETHYL SAFRANATE,ESTER,,,,,105633
9,10,197016,FLORALOZONE,ALDEHYDE,,,,,95151
10,11,100360,FLORAZON,ALDEHYDE,,,,,0
11,12,105562,GALBANOLENE SUPER,HYDROCARBON,,,,,4423393
12,13,170044,GERANIOL 60,ALCOHOL,,,,,4303
13,14,903290,GERANIOL 60 B,ALCOHOL,,,,,4303
14,15,103161,ISOJASMONE,KETONE,,,,,30777180
15,16,620107,ISOMENTHONE,KETONE,S,,,,4937714
16,17,130969,OCIMENE,HYDROCARBON,,,,,4478390
17,18,103944,TERPINOLENE DAK,HYDROCARBON,,,,,32697320
18,19,103849,TETRAHYDRO MUGUOL,ALCOHOL,,,,,5020894
19,20,130706,TOLYL ACETALDEHYDE PARA 50% DPG,ALDEHYDE,,,,,21169769
